# US ZIP codes (Census 2023 ZCTA Gazetteer interior points)
# id = ZIP<5-digit>; LON,LAT order; territories excluded
# Generated by scripts/build_zip_codes.py
id,zip,lon,lat
ZIP02840,02840,-71.31963,41.47668
ZIP02841,02841,-71.33002,41.50746
ZIP02842,02842,-71.27342,41.51709
ZIP02852,02852,-71.45981,41.58857
ZIP02857,02857,-71.63361,41.82276
ZIP02858,02858,-71.65011,41.96415
ZIP02859,02859,-71.75732,41.95907
ZIP02860,02860,-71.38868,41.87056
ZIP02861,02861,-71.35313,41.87860
ZIP02863,02863,-71.39348,41.89006
ZIP02864,02864,-71.42057,41.96746
ZIP02865,02865,-71.44982,41.91546
ZIP02871,02871,-71.25921,41.58661
ZIP02872,02872,-71.32093,41.59696
ZIP02873,02873,-71.78055,41.53313
ZIP02874,02874,-71.47442,41.50906
ZIP02875,02875,-71.63783,41.45937
ZIP02876,02876,-71.58441,41.99721
ZIP02878,02878,-71.18263,41.60698
ZIP02879,02879,-71.53838,41.42884
ZIP02881,02881,-71.52651,41.48243
ZIP02882,02882,-71.47227,41.41709
ZIP02885,02885,-71.25903,41.72640
ZIP02886,02886,-71.45522,41.70161
ZIP02888,02888,-71.40794,41.74823
ZIP02889,02889,-71.37797,41.70129
ZIP02891,02891,-71.78962,41.35777
ZIP02892,02892,-71.60157,41.49945
ZIP02893,02893,-71.52111,41.67960
ZIP02894,02894,-71.69930,41.44425
ZIP02895,02895,-71.49995,42.00171
ZIP02896,02896,-71.54407,41.97519
ZIP02898,02898,-71.66852,41.51764
ZIP02903,02903,-71.41025,41.81923
ZIP02904,02904,-71.43629,41.85833
ZIP02905,02905,-71.39623,41.78527
ZIP02906,02906,-71.38917,41.83947
ZIP02907,02907,-71.42463,41.79859
ZIP02908,02908,-71.43925,41.83902
ZIP02909,02909,-71.45178,41.81812
ZIP02910,02910,-71.43559,41.77500
ZIP02911,02911,-71.47281,41.85489
ZIP02912,02912,-71.40327,41.82552
ZIP02914,02914,-71.36647,41.81358
ZIP02915,02915,-71.35441,41.77218
ZIP02916,02916,-71.35244,41.84266
ZIP02917,02917,-71.52381,41.90629
ZIP02918,02918,-71.43502,41.84384
ZIP02919,02919,-71.51988,41.82744
ZIP02920,02920,-71.46551,41.76734
ZIP02921,02921,-71.51481,41.76291
